AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA,Alunni,Full Address,Latitude,Longitude,ORDINESCUOLA
NORD OVEST,LIGURIA,GENOVA,GEEE02200L,I.O. CONVITTO / PRIMARIA,GEEE02200L,I.O. CONVITTO / PRIMARIA,VIA DINO BELLUCCI 4,GEVC010002,GEEE02200L@istruzione.it,gevc010002@pec.istruzione.it,www.convittocolombo.gov,NO,201,"VIA DINO BELLUCCI 4, GENOVA",44.4146263,8.9283091,#N/A
NORD OVEST,LIGURIA,GENOVA,GEEE02200L,I.O. CONVITTO / PRIMARIA,GEEE02201N,I.O. CONVITTO / PRIMARIA,VIA BELLUCCI 4,Non Disponibile,GEEE02200L@istruzione.it,Non Disponibile,www.convittogenova.edu.it,NO,207,"VIA BELLUCCI 4, GENOVA",44.4146263,8.9283091,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEMM804034,IC SERRA RICCO'/NEGRI S.OLCESE,VIA E.CASSISSA 4,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,154,"VIA E.CASSISSA 4, GENOVA",44.4803171,8.9213484,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEEE804057,S.EL.-A.FRANK-CASTAGNA,VIA FRATELLI CANEPA 90,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,93,"VIA FRATELLI CANEPA 90, GENOVA",44.4962388,8.920696,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEEE804035,S.EL.-G.MATTEOTTI-MANESSENO,PIAZZA G.MATTEOTTI 9,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,115,"PIAZZA G.MATTEOTTI 9, GENOVA",44.4074341,8.933125,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEEE804013,S.EL.-A.CAFFARO-S.CIPRIANO,VIA G. CAMINATA 10,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,101,"VIA G. CAMINATA 10, GENOVA",44.5044206,8.9266885,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEEE804024,S.EL.-G.DI VITTORIO-PICCARELLO,VIA XXV APRILE 18,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,103,"VIA XXV APRILE 18, GENOVA",44.40877,8.9345103,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEEE804046,S.EL.-E.MONTALE-PEDEMONTE,PIAZZA SANTO POGGI 1,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,69,"PIAZZA SANTO POGGI 1, GENOVA",44.5095253,8.9370831,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEIC804001,I.C. SERRA RICCO',VIA MEDICINA 20 B,Non Disponibile,GEIC804001@istruzione.it,geic804001@pec.istruzione.it,www.icserrariccosantolcese.edu.it,NO,,"VIA MEDICINA 20 B, GENOVA",44.5119463,8.9392826,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC804001,I.C. SERRA RICCO',GEMM804045,I.C.SERRA RICCO'-SMS UNGARETTI,VIA A.MEDICINA 20 B,Non Disponibile,GEIC804001@istruzione.it,Non Disponibile,www.icserraricco.santolcese.edu.it,NO,217,"VIA A.MEDICINA 20 B, GENOVA",44.5119463,8.9392826,SCUOLA SECONDARIA I GRADO
